Plot,Year,Type,F_est,Mother,Father,Shading,X_axis,Y_axis,Border,DTA,DTS,PlantHt,LeafLen,LeafWd,TillNum,EarsPerSideBran,LatBranNodeNum,LatBranLen,LBIL,EarLen,SeedsPerRow,FC_Width_mm,SeedsPerEar,EarInternodeLen,PredSeedPerPlant,PredTotalSeedWeight,SeedWeight,CulmDiam,BranNum,MalePerc,Clustering,ASI,FruitcaseWt,ProporYoked,ProporNonShatter,ProporPairedSpikelets,Perc_Germ,FC_Length_mm,FC_LWR,FC_Triangularity,com,dr,TypeYear
A0003,2014,Self,0.5894369,PC_N14_ID2,PC_N14_ID2,2802.29,0,2,E,68,62,129,32,4,10,6,2,480,240,38.5,4,3.907524,8,4.81,3931,88,0.0224,1.38,9,100,0.0125,6,0.0448,0,0.038,0.015,95,5.760111,1.479436,1.397664773,PC_N14_ID2xPC_N14_ID2,1,Self2014
A0004,2014,Self,0.4263937,PC_J48_ID2,PC_J48_ID2,2978.09,0,3,E,70,70,86,43,5,6,8,4,200,50,50,4.5,3.455967,9,5.56,3999,85,0.0213,0.8,6,0,0.04,0,0.0425,0,0,0,100,6.257701,1.819066,1.39098873,PC_J48_ID2xPC_J48_ID2,1,Self2014
A0008,2014,Outcross,-0.03638047,PC_J13_ID1,PC_K60_ID1,2145.39,0,7,E,64,61,152,40,5.4,13,14,3,520,173.33,46.5,4.5,3.694183,9,5.17,6616,143,0.0216,1.55,10,100,0.0269,3,0.0432,0,0.006,0,95,5.505086,1.498049,1.407056807,PC_J13_ID1xPC_K60_ID1,1,Outcross2014
A0013,2014,Self,0.4377412,PC_N10_ID2,PC_N10_ID2,3634.49,0,12,E,70,67,125,41,5.6,8,8,2,310,155,55,4.75,4.134554,9.5,5.79,4580,137,0.0299,1.41,7,100,0.0258,3,0.0598,0,0.012,0.012,95,5.776356,1.40113,1.4310004,PC_N10_ID2xPC_N10_ID2,1,Self2014
A0014,2014,Self,0.7654521,PC_K60_ID1,PC_K60_ID1,4812.86,0,13,E,68,57,121,35,4.9,4,10,3,530,176.67,43.5,3.75,3.339933,7.5,5.8,3359,57,0.0169,1.16,8,90,0.0189,11,0.0338,0,0.019,0,100,5.886808,1.774492,1.463298282,PC_K60_ID1xPC_K60_ID1,1,Self2014
A0015,2014,Outcross,0.0260159,PC_J10_ID1,PC_M15_ID1,3672.43,0,14,E,65,64,166,47,6.5,13,12,3,640,213.33,50,4.75,3.776287,9.5,5.26,6345,154,0.0242,1.58,10,100,0.0188,1,0.0484,0,0,0,100,6.464993,1.719983,1.432534125,PC_J10_ID1xPC_M15_ID1,1,Outcross2014
A0020,2014,Outcross,-0.0070076,PC_M59_ID1,PC_L56_ID1,3608.49,0,19,E,62,63,124,63,7.9,7,17,4,550,137.5,44.5,4.75,3.630595,9.5,4.68,6656,139,0.0208,1.72,10,100,0.0309,-1,0.0417,0,0,0.008,95,5.832748,1.615333,1.365859831,PC_L56_ID1xPC_M59_ID1,-1,Outcross2014
A0021,2014,Self,0.5176889,PC_I08_ID1,PC_I08_ID1,4193.94,0,20,E,54,52,131,44,4.1,6,5,2,290,145,50.5,4.75,3.072762,9.5,5.32,4203,71,0.0168,1.12,9,0,0.0172,2,0.0336,0,0,0,90,6.151615,2.00881,1.467068329,PC_I08_ID1xPC_I08_ID1,1,Self2014
A0022,2014,Outcross,0.0001367,PC_N07_ID2,PC_O08_ID2,3344.48,0,21,E,62,59,163,42,6.1,10,7,3,360,120,48,4.75,3.817647,9.5,5.05,5614,144,0.0257,2.35,11,100,0.0194,3,0.0514,0,0,0,95,5.572125,1.466297,1.441377698,PC_N07_ID2xPC_O08_ID2,1,Outcross2014
A0024,2014,Self,0.4457123,PC_N07_ID2,PC_N07_ID2,3041.93,0,23,E,55,52,102,30.5,4.7,7,5,2,370,185,42.5,3.75,3.714259,7.5,5.67,3118,63,0.0204,1.47,8,100,0.0135,3,0.0407,0.058,0.038,0.004,85,5.784391,1.564588,1.42449969,PC_N07_ID2xPC_N07_ID2,1,Self2014
A0030,2014,Self,0.4791173,PC_N58_ID2,PC_N58_ID2,3191.44,0,29,E,67,65,140,42,6.1,5,11,3,470,156.67,40,3.75,3.414795,7.5,5.33,4139,89,0.0216,1.34,10,100,0.0234,2,0.0431,0,0.015,0,100,5.895844,1.730269,1.453592642,PC_N58_ID2xPC_N58_ID2,1,Self2014
A0031,2014,Self,0.4607673,PC_O59_ID2,PC_O59_ID2,3347.95,0,30,E,76,69,130,39,5.9,3,17,NA,NA,NA,64.5,4.75,4.112759,9.5,6.79,NA,NA,0.0337,1.72,7,90,NA,7,0.0675,0.051,0.051,0,95,6.985218,1.702955,1.441232079,PC_O59_ID2xPC_O59_ID2,1,Self2014
A0034,2014,Outcross,-0.02007157,PC_K02_ID1,PC_L12_ID1,3314.05,0,33,E,58,61,118,40,4.4,11,7,2,450,225,46,4,3.769998,8,5.75,4062,97,0.024,1.24,8,100,0.0156,-3,0.0479,0,0,0,100,5.755337,1.531429,1.399199701,PC_K02_ID1xPC_L12_ID1,1,Outcross2014
A0035,2014,Outcross,0.0038882,PC_N10_ID2,PC_J14_ID2,3713.49,0,34,E,69,66,164,65,6.3,5,12,3,600,200,50.5,4.75,NA,9.5,5.32,5215,NA,NA,1.85,10,100,0.02,3,NA,NA,NA,NA,NA,NA,NA,NA,PC_J14_ID2xPC_N10_ID2,-1,Outcross2014
A0036,2014,Outcross,-0.0150423,PC_K55_ID2,PC_O59_ID2,3668.63,0,35,E,70,67,147,61,6.5,8,13,4,730,182.5,53.5,5.5,4.367273,11,4.86,6529,182,0.0279,1.92,10,100,0.0178,3,0.0557,0,0,0,90,6.041152,1.39352,1.354897101,PC_K55_ID2xPC_O59_ID2,1,Outcross2014
A0038,2014,Outcross,-0.03267694,PC_N04_ID1,PC_I06_ID1,3730.75,0,37,E,64,62,134,53,5.3,6,14,3,460,153.33,46.5,4.25,3.982227,8.5,5.47,5173,129,0.0249,1.49,9,100,0.0304,2,0.0499,0,0,0,80,6.42489,1.626299,1.355497514,PC_I06_ID1xPC_N04_ID1,-1,Outcross2014
A0042,2014,Outcross,-0.01893806,PC_N03_ID2,PC_I50_ID2,3537.15,0,41,E,76,71,188,56,5.9,6,10,3,470,156.67,49.5,5.25,3.524761,10.5,4.71,6014,126,0.0209,2,11,100,0.0213,5,0.0418,0.014,0.007,0,90,5.653004,1.60941,1.400815677,PC_I50_ID2xPC_N03_ID2,-1,Outcross2014
A0044,2014,Outcross,-0.0073377,PC_N10_ID2,PC_O59_ID2,3376.87,0,43,E,74,70,173,47,7.6,11,7,2,240,120,48,5,4.0292,10,4.8,6843,200,0.0293,1.71,13,100,0.0292,4,0.0586,0.025,0.038,0,90,5.805331,1.449946,1.417537398,PC_N10_ID2xPC_O59_ID2,1,Outcross2014
A0045,2014,Self,0.4511923,PC_I08_ID1,PC_I08_ID1,3966.3,0,44,E,57,53,122,31,5,5,8,3,380,126.67,40,3.75,3.876485,7.5,5.33,3567,94,0.0264,1.47,9,0,0.0211,4,0.0527,0,0,0,100,6.452416,1.669398,1.392882439,PC_I08_ID1xPC_I08_ID1,1,Self2014
